data done
2018-01-09 23:33:53.321079: W tensorflow/core/platform/cpu_feature_guard.cc:45] The TensorFlow library wasn't compiled to use SSE4.1 instructions, but these are available on your machine and could speed up CPU computations.
2018-01-09 23:33:53.321115: W tensorflow/core/platform/cpu_feature_guard.cc:45] The TensorFlow library wasn't compiled to use SSE4.2 instructions, but these are available on your machine and could speed up CPU computations.
2018-01-09 23:33:53.321122: W tensorflow/core/platform/cpu_feature_guard.cc:45] The TensorFlow library wasn't compiled to use AVX instructions, but these are available on your machine and could speed up CPU computations.
2018-01-09 23:33:53.321127: W tensorflow/core/platform/cpu_feature_guard.cc:45] The TensorFlow library wasn't compiled to use AVX2 instructions, but these are available on your machine and could speed up CPU computations.
2018-01-09 23:33:53.321132: W tensorflow/core/platform/cpu_feature_guard.cc:45] The TensorFlow library wasn't compiled to use FMA instructions, but these are available on your machine and could speed up CPU computations.
2018-01-09 23:33:54.701138: I tensorflow/core/common_runtime/gpu/gpu_device.cc:955] Found device 0 with properties: 
name: Tesla P4
major: 6 minor: 1 memoryClockRate (GHz) 1.1135
pciBusID 0000:81:00.0
Total memory: 7.43GiB
Free memory: 7.31GiB
2018-01-09 23:33:54.701204: I tensorflow/core/common_runtime/gpu/gpu_device.cc:976] DMA: 0 
2018-01-09 23:33:54.701220: I tensorflow/core/common_runtime/gpu/gpu_device.cc:986] 0:   Y 
2018-01-09 23:33:54.701241: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1045] Creating TensorFlow device (/gpu:0) -> (device: 0, name: Tesla P4, pci bus id: 0000:81:00.0)
('Step:', 0, 'loss:', 8.3225346, 'acc:', 0.00018601191)
('Step:', 1, 'loss:', 8.0177431, 'acc:', 0.049789187)
('Step:', 2, 'loss:', 5.2684336, 'acc:', 0.035714287)
('Step:', 3, 'loss:', 5.8685241, 'acc:', 0.057787701)
('Step:', 4, 'loss:', 5.6506276, 'acc:', 0.017082095)
('Step:', 5, 'loss:', 4.9330416, 'acc:', 0.033668157)
('Step:', 6, 'loss:', 4.8807774, 'acc:', 0.027870787)
('Step:', 7, 'loss:', 4.8731289, 'acc:', 0.039155509)
('Step:', 8, 'loss:', 4.8074713, 'acc:', 0.041790672)
('Step:', 9, 'loss:', 4.7210574, 'acc:', 0.042968754)
('Step:', 10, 'loss:', 4.6389451, 'acc:', 0.031312007)
('Step:', 11, 'loss:', 4.4582753, 'acc:', 0.032924108)
('Step:', 12, 'loss:', 4.3176684, 'acc:', 0.036768354)
('Step:', 13, 'loss:', 4.3431034, 'acc:', 0.048921134)
('Step:', 14, 'loss:', 4.3862019, 'acc:', 0.044983882)
('Step:', 15, 'loss:', 4.3500404, 'acc:', 0.037977431)
('Step:', 16, 'loss:', 4.3667469, 'acc:', 0.033327136)
('Step:', 17, 'loss:', 4.3239236, 'acc:', 0.038287453)
('Step:', 18, 'loss:', 4.2862711, 'acc:', 0.04597595)
('Step:', 19, 'loss:', 4.3091412, 'acc:', 0.049665187)
('Step:', 20, 'loss:', 4.2762556, 'acc:', 0.049975205)
('Step:', 21, 'loss:', 4.2841606, 'acc:', 0.045448914)
('Step:', 22, 'loss:', 4.2642055, 'acc:', 0.045138888)
('Step:', 23, 'loss:', 4.2315292, 'acc:', 0.055183534)
('Step:', 24, 'loss:', 4.2502322, 'acc:', 0.040085569)
('Step:', 25, 'loss:', 4.2646036, 'acc:', 0.050781254)
('Step:', 26, 'loss:', 4.2877507, 'acc:', 0.055989586)
('Step:', 27, 'loss:', 4.2674832, 'acc:', 0.051804319)
('Step:', 28, 'loss:', 4.2722378, 'acc:', 0.050378229)
('Step:', 29, 'loss:', 4.3045216, 'acc:', 0.047712058)
('Step:', 30, 'loss:', 4.2960391, 'acc:', 0.048425104)
('Step:', 31, 'loss:', 4.2802219, 'acc:', 0.060205862)
('Step:', 32, 'loss:', 4.2682796, 'acc:', 0.05285839)
('Step:', 33, 'loss:', 4.2697353, 'acc:', 0.050595239)
('Step:', 34, 'loss:', 4.2611022, 'acc:', 0.06166295)
('Step:', 35, 'loss:', 4.2424793, 'acc:', 0.050564237)
('Step:', 36, 'loss:', 4.271915, 'acc:', 0.04978919)
